name,url,rating,lat,lon,phone
4.5,http://m.yelp.com/biz/caledonia-bar-new-york-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Caledonia Bar,-73.953213,2127344300,40.776327
4.5,http://m.yelp.com/biz/arts-and-crafts-beer-parlor-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Arts and Crafts Beer Parlor,-73.9977158236,6466785263,40.732728301
4.0,http://m.yelp.com/biz/cock-and-bull-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Cock & Bull,-73.9804858351,2128191900,40.7560908824
4.0,http://m.yelp.com/biz/district-tap-house-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,District Tap House,-73.990455,2122211822,40.753982
4.5,http://m.yelp.com/biz/4th-avenue-pub-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,4th Avenue Pub,-73.9800099,7186432273,40.68228
4.0,http://m.yelp.com/biz/george-keeley-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,George Keeley,-73.9759674072,2128730251,40.7858314514
4.0,http://m.yelp.com/biz/blind-tiger-ale-house-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Blind Tiger Ale House,-74.003223,2124624682,40.731926
4.0,http://m.yelp.com/biz/the-four-faced-liar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,The Four-Faced Liar,-74.00142,2122068959,40.73218
5.0,http://m.yelp.com/biz/north-pole-pub-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,North Pole Pub,-73.9774,7188570049,40.68154
4.0,http://m.yelp.com/biz/woodrows-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Woodrow's,-74.0092921257,2126760300,40.7140586525
4.5,http://m.yelp.com/biz/judge-roy-bean-public-house-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Judge Roy Bean Public House,-73.9761248067,2122628300,40.7629158109
4.0,http://m.yelp.com/biz/smithfield-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Smithfield,-73.993641,2129299677,40.7449
4.5,http://m.yelp.com/biz/the-owl-farm-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,The Owl Farm,-73.986595,7184994988,40.669605
4.0,http://m.yelp.com/biz/11th-street-bar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,11th Street Bar,-73.9812774658,2129823929,40.7280197144
4.5,http://m.yelp.com/biz/carraghers-pub-and-restaurant-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Carragher's Pub & Restaurant,-73.9892388,6463701545,40.7543734
4.0,http://m.yelp.com/biz/jimmys-corner-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Jimmy's Corner,-73.984832,2122219510,40.756599
4.5,http://m.yelp.com/biz/brooklyn-ice-house-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Brooklyn Ice House,-74.011099,7182221865,40.67919
4.0,http://m.yelp.com/biz/radegast-hall-and-biergarten-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Radegast Hall and Biergarten,-73.96165,7189633973,40.71664
3.5,http://m.yelp.com/biz/henry-street-ale-house-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,Henry Street Ale House,-73.9923515,7185224801,40.6991054
4.5,http://m.yelp.com/biz/the-monro-pub-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=JPmz_ORwBuWxIBf5hAMb2w,The Monro Pub,-73.9873605,7184992005,40.6677448